id,color_pre_hsv,cara_geometrica,fila_geometrica,columna_geometrica,area,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,solidez,extent,aspect_ratio,major_axis,minor_axis,meanH,meanS,meanV,meanR,meanG,meanB,cluster_kmeans,color_kmeans,score
13,geometrico,izquierda,2,1,4989.19672936963,45.7351730378678,213.323700107706,18.8810702546157,165.573360632946,52.9702967759288,94.1885742206539,1,1,0.562385588848985,94.1885742206539,52.9702967759288,0.019110078703772,0.902259788275699,0.815686274509804,0.815686274509804,0.164009598342933,0.0795359284735915,1,rojo,1
14,geometrico,izquierda,2,2,5303.34699040573,95.6256086492737,252.543781464543,68.125593715833,202.90960817004,54.2064654823542,97.8360596510785,1,1,0.554054054054053,97.8360596510785,54.2064654823542,0.146950060745678,0.688996233466329,0.870932586351086,0.870932586351086,0.8,0.270980356443136,3,amarillo,1
15,geometrico,izquierda,2,3,6130.85952747141,150.867109263033,295.970464791599,122.734650660967,244.313141488351,60.256960423092,101.745250414621,1,1,0.59223364410171,101.745250414621,60.256960423092,0.0840702515268093,0.931394555094138,0.980093066691932,0.980093066691932,0.529411764705882,0.0672236985667322,1,naranja,1
16,geometrico,izquierda,3,1,4223.61620420896,51.3278051092561,267.013350214449,26.4821704895985,223.407818942597,49.0564909714223,86.0969898289181,1,1,0.569781720230889,86.0969898289181,49.0564909714223,0.400992556707557,0.755268363921489,0.752941176470588,0.184313725490196,0.752941176470588,0.416369111531522,4,verde,1
17,geometrico,izquierda,3,2,4464.86174339329,97.7658582941651,305.841514020375,72.37157371043,260.686934871737,50.1096188439659,89.101889944448,1,1,0.562385588848986,89.101889944448,50.1096188439659,0.409006565670335,0.802143447429402,0.741176470588235,0.146659745253808,0.741176470588235,0.416129269408545,4,verde,1
18,geometrico,izquierda,3,3,5098.03375499494,148.795379280182,348.508733334963,122.863644012571,301.705113583665,55.2363619799905,92.2948864163377,1,1,0.598476948450015,92.2948864163377,55.2363619799905,0.0169142848557113,0.885542605688701,0.880610576824891,0.880610576824891,0.178911167843533,0.10043751366149,1,rojo,1
19,geometrico,derecha,1,1,7142.81550574501,217.700761927748,233.02644098405,183.452107131429,180.888226219454,68.823683376615,103.784266626043,1,1,0.663141780676653,103.784266626043,68.823683376615,0.147842456398082,0.0642089086996879,0.836236231535021,0.835943708503755,0.829784476727946,0.783305162449584,6,blanco,1
20,geometrico,derecha,1,2,6677.94066809181,277.854712800948,192.791145891305,244.657155044681,142.50279350675,66.6991306195663,100.120355483806,1,1,0.666189510587129,100.120355483806,66.6991306195663,0.553550645260548,0.92979321903718,0.66505516447296,0.0469726328118052,0.466666666666667,0.66505516447296,2,azul,1
21,geometrico,derecha,1,3,6256.16580531423,333.511089885598,155.56415209809,301.306031747204,107,64.6939682527965,96.7040046278781,1,1,0.668989547038327,96.7040046278781,64.6939682527965,0.13743064825892,0.0869783004620787,0.76078431372549,0.76078431372549,0.749019607843137,0.694479477736584,6,blanco,1
22,geometrico,derecha,2,1,6437.53090048423,211.097955851387,292.998002782112,178.502079324848,243.625196514715,65.4875221701288,98.3016410937078,1,1,0.666189510587129,98.3016410937078,65.4875221701288,0.403468511472767,0.828393196043439,0.709838622099168,0.121630732098069,0.709838622099168,0.369226007794399,4,verde,1
23,geometrico,derecha,2,2,6039.17614464657,268.739035696466,252.384878932887,237.0961832473,204.672193048031,63.5621405672573,95.0121580354316,1,1,0.668989547038327,95.0121580354316,63.5621405672573,0.554580995355888,0.957831325301205,0.65160489769037,0.0274509803921569,0.447058823529412,0.65160489769037,2,azul,1
24,geometrico,derecha,2,3,5675.95197677701,322.26092649811,214.674079870585,291.520479194604,168.514600644265,61.7398106127968,91.933420599132,1,1,0.671570906536896,91.933420599132,61.7398106127968,0.0726400762401207,0.932959206055453,0.858310066551807,0.858310066551807,0.406200821976321,0.0575686605959379,1,naranja,1
25,geometrico,derecha,3,1,5831.51309462206,205.095240993544,347.519092889859,174,300.635675025743,62.4597574740672,93.3643249742566,1,1,0.668989547038328,93.3643249742566,62.4597574740672,0.553036062841994,0.93444068252732,0.716887261848254,0.0470810863972536,0.504142388024409,0.716887261848254,2,azul,1
26,geometrico,derecha,3,2,5487.60692608791,260.422476524439,306.754379019567,230.195292585771,261.368807852826,60.7068131108116,90.3952397578682,1,1,0.671570906536895,90.3952397578682,60.7068131108116,0.400996240567638,0.815138111296788,0.67843137254902,0.125490196078431,0.67843137254902,0.349019607843137,4,verde,1
27,geometrico,derecha,3,3,5172.61483434856,311.96325114723,268.779502632006,282.560100309316,224.80010539051,59.0434281601048,87.6069529757363,1,1,0.673958243661979,87.6069529757363,59.0434281601048,0.166753017034693,0.0575554930586022,0.699593883056371,0.698039215686274,0.699368519783629,0.658823529411765,6,blanco,1
