id,cara,fila,columna,color,cluster,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,meanH,meanS,meanV,meanR,meanG,meanB
18,izquierda,3,3,blanco,6,167.510971887765,388.076335811732,136.774225704474,330.690176714205,63.7164818250913,114.309823285796,0.147063908430934,0.0829741706559791,0.796864800507533,0.796807090721646,0.791390886791916,0.731814221439509
1,superior,1,1,verde,3,79.430945682365,98.851801023587,10,64.7436227805961,138.571007998868,69.9093453553973,0.392500805151597,0.837034216059159,0.745098039215686,0.121468571329791,0.745098039215686,0.345442693918532
2,superior,1,2,naranja,4,154.501649136473,69.2423543010027,87.0260241791446,36.6793907474473,134.675863396083,66.6993551982565,0.0661992897346624,0.930897058681471,0.913725490196079,0.913725490196079,0.401709795832587,0.0627450980392157
3,superior,1,3,blanco,5,225.782776765266,41.1275950974912,160.156002173838,10.0000000000002,130.992455196617,63.7204055961164,0.398449908484574,0.0218579234972678,0.71764705882353,0.701961721352222,0.71764705882353,0.707275638731385
4,superior,2,1,blanco,6,143.772278880599,139.947491758342,72.8897509061564,104.085376074915,141.461319517508,73.5459887104029,0.194444444444446,0.0290192820789235,0.862223664328297,0.855162556589813,0.862223664328297,0.835967790531755
5,superior,2,2,blanco,5,218.809974286832,108.591540371851,149.964792045599,74.3946636176046,137.403150639818,70.0838000912864,0.303379759453457,0.0295979255919766,0.811764705882353,0.792156862745098,0.811764705882353,0.787589941512735
6,superior,2,3,amarillo,1,289.977664217244,78.8527455745691,223.056641970811,46.2000762850496,133.570042786733,66.8764542439941,0.158180736331211,0.66251090277048,0.817453494198884,0.817453494198884,0.789433083260027,0.275660471126538
7,superior,3,1,verde,3,211.122999155412,182.965319235575,138.727472876848,145.22173795738,144.473593899047,77.4505015449521,0.404814477200017,0.867887569893566,0.830841583130123,0.10989523238288,0.830841583130123,0.418815355486957
8,superior,3,2,azul,2,286.044714578952,149.731350808432,215.773788118052,113.784897853948,140.242034961749,73.7108615591841,0.546196240161386,0.964529887558474,0.734338523928162,0.026128285712291,0.541176470588235,0.734338523928162
9,superior,3,3,verde,3,357.016805321839,118.249367118875,288.750004860958,83.9664411891554,136.24999513904,70.2528511405865,0.406368333292141,0.858730874025108,0.776624375909257,0.109803921568627,0.776624375909257,0.404315718244802
